place,population,bounds_area,land_area
amsterdam,953736,362441533,362441533
auckland,1024915,1945997687,1148256096
bayarea,7254630,25893153048,17023764173
berlin,1939415,2058871244,2058871244
boston,3158505,4043804851,3173243971
buenosaires,10259203,4010040957,4010040957
cairo,13709769,5245543282,5245543282
crimea,1851028,71971037373,27964066016
cyprus,725747,29126100196,9248931163
douala,88863,488399738,466489591
haiti,7058239,82042733759,31890924278
istanbul,2588188,9288754244,4398711437
jakarta,13856170,1546192632,1470321621
jerusalem,6826731,28737432075,19774795972
london,8514280,3288808974,3288808974
losangeles,12746245,17696059740,15238668798
manchester,1094441,397428063,397428063
mexicocity,14739742,2413585215,2413585215
minsk,1240330,459065017,459065017
montevideo,862224,1737277492,1737277492
montreal,3007949,2060779208,2060779208
moscow,4122703,1328050971,1328050971
mumbai,13127079,1439427176,1012710652
nairobi,3022977,1754085589,1754085589
newyork,16425550,11250270282,6979190624
paris,9934700,3818551569,3818551569
quebec,585197,740527214,658437308
rio,7663568,4765895905,3658500921
santiago,1448309,1368031752,1368031752
seattle,3199281,7802619396,6261888387
seoul,11400212,811610143,811610143
tirana,74765,362833082,362833082
tokyo,30834537,7971880454,6959265048
toronto,3637923,3381923580,3381923580
vancouver,1639064,3088651581,2549922093
yaounde,483353,240556467,240556467
